Raza,Foto,Origen,Descripción,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Rasgo 7,Rasgo 8
Maine coon,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0012_Maine_coon.jpg?itok=rW5yQdJM,"País de origen: Estados Unidos. Los ancestros del maine coon eran gatos de pelo largo que llevaron al estado de Maine (EE. UU.) los marineros en 1850. Aquellos gatos se aparearon con los gatos locales de pelo corto. Los descendientes fueron unos gatos grandes y de constitución fuerte, con pelajes semilargos y colas en forma de cepillo que recordaban a las de los mapaches (racoon, en inglés); de ahí el nombre de maine coon. Estos gatos desarrollaron unos pelajes densos y gruesos para soportar los inviernos extremos de Maine. Ya en la década de los sesenta se realizaron exposiciones especiales sobre los maine coon y la raza se popularizó como animal de compañía. El maine coon fue importado al Reino Unido en 1980.","Los gatos maine coon, considerada la mayor de todas las razas de gatos, tienen un cuerpo de fuerte musculatura y patas sólidas. Tiene un hocico cuadrado y unas orejas grandes que se sostienen anchas y erguidas. El pelaje es largo y grueso, con un manto inferior cubierto por un abundante pelo impermeable y brillante. El pelo de la cabeza, del cuello y del torso es más corto y aumenta de longitud al bajar por el lomo, los costados y la cola. El pelo del vientre y de las patas traseras es abundante y lanudo. Tiene una gorguera que empieza en la base de las orejas y es más densa en los machos que en las hembras. El pelo de la cola es largo y suelto. Las orejas presentan mechones en las puntas. Las zarpas tienen también unos mechones que les dan el aspecto de raquetas para la nieve. El maine coon puede presentar más de 30 colores. Los ojos pueden ser verdes, dorados o cobrizos; en los gatos blancos es posible encontrar ojos azules o de distinto color cada uno.",Gato muy curioso y activo,Gato sociable y dependiente,Gato algo maullador,Raza de gato más grande y robusta,Requiere aseo todos los días,Raza alergénica,Gato al aire libre,Buen gato familiar
Manx,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_manx.jpg?itok=mIOFl0io,"País de origen: Gran Bretaña (Isla de Man). El gato sin cola manx se conoce desde hace cientos de años en la Isla de Man, donde hay varias leyendas sobre de su origen exacto. Una de ellas afirma que fue Noé quien le cortó la cola al cerrar demasiado rápido pronto la puerta del arca. Otra dice que los gatos sin cola nadaron hasta la costa de la Isla de Man desde los galeones destrozados de la Armada española en 1588. La carencia de cola se debe, sin duda, a una mutación genética posiblemente originada por la reproducción endogámica entre la pequeña población de británicos de pelo corto de la isla. El manx auténtico (o rumpy) tiene solo un huequecito en el lugar donde debería estar la cola, aunque también nacen gatos con colas residuales. A estos se les denomina stumpies, stubbies o longies dependiendo de la longitud de la cola. La mutación genética que causa la falta de cola también puede ser responsable de otras malformaciones óseas.","El manx recuerda mucho al gato británico de pelo corto salvo por la cola. Su cuerpo es firme y compacto, con el pecho ancho y el lomo corto. La grupa es redondeada y es más alta que la cruz. Las patas son cortas y fuertes; las traseras son algo más largas que las delanteras. Los gatos de exhibición deben carecer de cola por completo y deben tener la grupa completamente redondeada; sin embargo, se permiten muñones de distintas longitudes en gatos de compañía o de cría. El pelaje del manx consta de un manto inferior corto y espeso y un manto superior un poco más largo. A excepción del patrón siamés, el manx puede presentar cualquier combinación de colores y marcas.",Gato tranquilo,Gato amigable pero independiente,Un gato silencioso,Raza de gato más grande y robusta,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Buen gato familiar
Mau egipcio,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0009_Egyptian_mau.jpg?itok=yFkMvDSS,"País de origen: Egipto/Italia. «Mau» significa gato en egipcio y esta raza tiene un parecido sorprendente con los esculturales gatos moteados representados en el arte egipcio antiguo. La raza procede de un gato moteado encontrado en El Cairo que supuestamente llevó a Roma en 1953 una princesa rusa. Esta princesa crió a varios gatos moteados en Italia y, después, se mudó a Norteamérica, donde los criadores desarrollaron al mau moderno. Se dice que las manchas características de la cabeza recuerdan al escarabajo sagrado de los antiguos egipcios.",El mau egipcio es un felino de aspecto atlético y elegante que se caracteriza por tener un patrón moteado en el pelaje. Se dice que los mau tienen una mirada como de «preocupación».,Gato muy curioso y activo,Gato sociable y dependiente,Gato algo maullador,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Mist australiano,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_australian_mist.jpg?itok=A57IM_ll,,"Los mist australianos son gatos de pelo corto y tamaño mediano, con la cabeza redonda y los ojos grandes y expresivos que tienen varias tonalidades de verde. No hay nada extremo en los mist australianos: son de un tamaño mediano, con una osamenta común y una cara amable. El pelaje tiene un fondo pálido con marcas en el cuello, la cola y las patas, así como unas motas más finas o remolinos marmolados; tiene las patas y la cola anilladas y con rayas, además de líneas en la cara. El mist australiano pueden presentar siete tonalidades: marrón, azulado, chocolate, lila, caramelo, dorado y melocotón.",Gato curioso y juguetón,Gato amigable pero independiente,Gato algo maullador,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Munchkin,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_munchkin.jpg?itok=MwSfUIeu,"País de origen: EE. UU.. Esta raza, considerada el equivalente felino al perro salchicha, ha provocado controversia en el mundo de los gatos. La mutación del munchkin se descubrió en Estados Unidos en 1983, donde este gato fue bautizado con el nombre de la «gente pequeña» de El Mago de Oz. Se tiene constancia de gatos de patas cortas, como el munchkin, en Inglaterra en los años treinta y en Rusia en los cincuenta, pero estas razas no se perpetuaron. En el Reino Unido, esta raza no es reconocida por la principal asociación británica de amigos de los gatos.","El munchkin es un gato de tamaño mediano, con patas extremadamente cortas y la columna vertebral larga. Los movimientos del munchkin son parecidos a los del hurón, ya que no tienen la gracia felina de los gatos de patas largas. Los munchkin tienen un cuerpo grueso con el pecho redondeado. La raza puede presentar un pelaje corto o largo. Ambas variedades tienen un manto afelpado de aspecto sedoso todo el año. El munchkin de pelo largo tiene la cola emplumada. Los munchkin pueden presentar cualquier color o patrón de pelaje y sus ojos almendrados también pueden ser de cualquier color.",Gato curioso y juguetón,Gato amigable pero independiente,Un gato silencioso,Raza de gato de constitución media,Requiere aseo todos los días,Raza alergénica,Gato de interior,Puede requerir familiarización antes de vivir con niños
Ocigato,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0014_Ocicat.jpg?itok=NChd-xYz,"País de origen: Estados Unidos. Otros nombres: Oci. El ocigato es una raza de gato relativamente nueva que surgió de unos apareamientos experimentales en los EE. UU. en 1960. Los criadores intentaban crear un siamés con marcas distales de abisinio, pero, en lugar de eso, nació un gato con un impresionante pelaje de motas doradas sobre un fondo marfil. Parecía un ocelote salvaje y de ahí el nombre del ocigato. Se introdujeron americanos de pelo corto en el programa de reproducción, lo que dio lugar al colorido plateado, así como a huesos y musculatura fuertes. En 1988 llegaron los primeros ocigatos a Gran Bretaña.","El ocigato es un gato de tamaño mediano a grande, con el pelaje moteado. El pecho es ancho y profundo y las patas, fuertes y musculosas. La cabeza es cuneiforme, con una cierta cuadratura en la mandíbula. Las orejas grandes y separadas y los mechones le dan un aspecto salvaje. El pelaje del ocigato es corto, liso y de textura suave. Las motas se esparcen formando un patrón muy característico por los flancos, la cruz y los cuartos traseros, descendiendo hacia las patas y por el vientre. La frente muestra la M característica de los gatos atigrados en color oscuro. En la cola alternan motas y anillos de color más oscuro que acaban en una punta oscura. El ocigato puede tener muchos colores.",Gato muy curioso y activo,Gato sociable y dependiente,Gato algo maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Gato al aire libre,Puede requerir familiarización antes de vivir con niños
Oriental de pelo corto,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0016_Oriental_shorthair.jpg?itok=rv_lUtuQ,"País de origen: Estados Unidos/Gran Bretaña. En realidad, el oriental es un siamés con un pelaje de diferente color y ojos verdes (salvo en el caso del blanco, que tiene los ojos azules). Su forma y carácter son idénticos a los del siamés. El gato oriental se creó cruzando gatos siameses con otras razas para obtener colores diferentes. El siamés negro existía desde hace mucho tiempo, pero fue hasta 1950 cuando se empezó a hacer un esfuerzo importante para criar gatos diferentes colores. El negro empezó a conocerse desde entonces con el nombre de oriental negro. La siguiente raza oriental que se desarrolló fue la Habana, un siamés de color chocolate (no debe confundirse con el gato habana marrón, que es una raza americana distinta). Desde entonces, la reproducción selectiva ha dado origen a muchos más colores y patrones de pelaje.","Los orientales son de tamaño mediano, pero pesan más de lo que aparentan. De cuerpo es parecido al siamés: largo, delgado, con cola larga en forma de látigo y patas largas y esbeltas. La cabeza es cuneiforme y triangular, de perfil recto y tiene las orejas grandes y muy separadas. El pelaje del oriental es muy corto y ceñido al cuerpo. Su textura es fina y brillante. Los orientales de pelo corto tienen una gran variedad de colores y patrones.",Gato muy curioso y activo,Gato sociable y dependiente,Gato muy maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Oriental de pelo largo,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0015_Oriental_longhair.jpg?itok=rKs411zW,"País de origen: Inglaterra. Otros nombres: Angora, mandarín, angora británico. El oriental de pelo largo se importó originalmente de Ankara (Turquía) en el siglo XIX y fue el primer gato de pelo largo en llegar a Europa occidental. La raza desapareció con la llegada del persa de pelaje más abundante, a principios de 1900. El oriental de pelo largo moderno ha sido recuperado genéticamente por criadores del Reino Unido mediante cruces con abisinios (por el gen de pelo largo) y siameses (por la tipología corporal). Varios ejemplares del gato original se llevaron a EE. UU., donde se reprodujeron y dieron lugar a lo que ahora se llama angora turco. El gato oriental de pelo largo se conocía anteriormente como angora británico, pero en 2002 las asociaciones británicas de amigos de los gatos le cambiaron el nombre para evitar confusiones con el angora turco. En Europa, el oriental de pelo largo de color liso se conoce como javanés.","Los gatos orientales de pelo largo se caracterizan por tener un cuerpo largo, ágil y elegante, parecido al siamés, con cabeza y orejas cuneiformes triangulares. El pelaje es largo y sedoso, pero, a diferencia del persa, no tiene un manto inferior lanoso y el pelo le cuelga lacio sobre el cuerpo, por lo que oficialmente está clasificado como pelo semilargo. La cola forma un penacho magnífico. La gama de colores incluye desde los colores lisos hasta los ahumados, los «tipped» (con las puntas del pelo coloreadas) o los «tabby» (atigrados). Todos los orientales de pelo largo tienen los ojos verdes almendrados, excepto los blancos, que pueden tener los ojos verdes o azules (e incluso uno de cada color).",Gato muy curioso y activo,Gato sociable y dependiente,Gato muy maullador,Raza de gato esbelta y elegante,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Persa de pelo largo,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0017_Persian.jpg?itok=uVuZv9VY,"País de origen: Turquía e Irán. Los primeros antepasados documentados del gato persa se importaron en el siglo XVII de Irán a Italia y de Angora (actual Ankara, en Turquía) a Francia. Los gatos persas tenían el pelaje gris, mientras que los de Angora eran blancos. Al final, los descendientes de esos gatos de pelo largo llegaron a Gran Bretaña en el siglo XIX. Aquellos primeros persas eran bastante diferentes de los gatos que ganan premios en las exhibiciones actuales: tenían la cara más larga, las orejas más grandes y una forma más larga. Con el paso de los años, la reproducción selectiva ha dado como resultado el cuerpo fornido y la cara plana que conocemos hoy en día. El pelaje no solo es largo, sino que tiene un manto inferior muy grueso que requiere muchos cuidados por parte del dueño: el gato no puede mantenerse sin enredos por sí solo.","El persa de pelo largo es un gato fornido de tamaño mediano con una cabeza muy grande en proporción a su cuerpo. Tiene la cabeza redondeada y ancha, las orejas pequeñas y separadas, y la cara corta y despejada. Los ojos son grandes y redondos y tienen un color vivo. Las patas son cortas, gruesas y fuertes, con zarpas grandes y redondeadas y dedos copetudos. La cola es corta y tupida. El pelaje es largo, grueso y exuberante, con una capa interna densa y suave El persa presenta una gran variedad de patrones y colores.",Gato tranquilo,Gato amigable pero independiente,Un gato silencioso,Raza de gato más grande y robusta,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Pixie bob,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0018_Pixiebob.jpg?itok=Cdb-jx8r,,"El pixie bob es una raza grande que recuerda al bobcat en muchos aspectos; tal vez el más obvio sea su cola corta (aunque la cola puede ser casi inexistente, corta o, incluso, larga). El cuerpo es musculoso, tiene la cara en forma de pera y tiene mechones en las orejas. El pelaje lanoso sobresale del cuerpo y tiene un patrón moteado sobre un fondo que va del canela claro al rojizo. Las mayoría de los pixie bob tienen el pelo y la piel de la parte inferior de las patas de color negro, las orejas con pelo grueso y mechones, los labios negros y pelo blanco alrededor de los ojos, pero con la piel de color negro. La mayoría tienen el pelo corto, pero algunos son de pelo largo. Los ojos son dorados o verdosos. El pixie bob es una de las pocas razas que admiten la polidactilia (dedos extra) en sus estándares, hasta un máximo de siete dedos.",Gato curioso y juguetón,Gato amigable pero independiente,Gato algo maullador,Raza de gato más grande y robusta,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
